text,label
Slippery floor hazard,complaint
Discount for senior citizens?,billing
Psychiatrist consultation booking,appointment
Psychiatrist consultation booking please,appointment
"Hi, Outstanding balance inquiry",billing
"Hi, What is the cost of an MRI",billing
"Hi, Unprofessional staff conduct",complaint
Glucose test results,reports
"Hi, Send reports to my doctor directly",reports
Doctor didn't explain diagnosis well please,complaint
"Hi, Payment receipt not received",billing
"Hi, Report collection timings",reports
"Hi, Ultrasound report collection",reports
Outstanding balance inquiry,billing
Co-payment amount details,billing
Itemized bill request,billing
Installment payment options please,billing
Manager needed for a complaint please,complaint
Appointment was delayed by 2 hours please,complaint
Water dispenser empty please,complaint
"Hi, Room charges per day",billing
"Hi, I need to consult for fever",appointment
Urine culture report delay please,reports
"Hi, Neurologist visit scheduling",appointment
Vitamin D test result,reports
Hard copy of the report needed,reports
"Hi, Manager needed for a complaint",complaint
"Hi, Hard copy of the report needed",reports
Send me the invoice for my last visit please,billing
"Hi, Booking an appointment for cardiology",appointment
Noise level in the ward was high please,complaint
"Hi, Slippery floor hazard",complaint
Hard copy of the report needed please,reports
Send reports to my doctor directly please,reports
Call button not responding please,complaint
Installment payment options,billing
Security guard was rude please,complaint
"Hi, Endoscopy report status",reports
"Hi, Reschedule appointment to next week?",appointment
"Hi, Kidney function test report",reports
Neurologist visit scheduling,appointment
Outstanding balance inquiry please,billing
Rude behavior by the receptionist,complaint
I want to see a general physician,appointment
Booking an appointment for cardiology,appointment
Mosquitoes in the lobby please,complaint
Call button not responding,complaint
Payment issue with credit card please,billing
Report collection timings please,reports
Is the CT scan report generated? please,reports
Wrong medicine given at pharmacy please,complaint
Can I schedule a visit for tomorrow?,appointment
"Hi, ENT specialist appointment",appointment
"Hi, TV in the room not working",complaint
"Hi, Is insurance accepted here?",billing
Washrooms were dirty,complaint
Consultation fee details please,billing
"Hi, Insurance claim status",billing
Room charges per day please,billing
Need a slot for 10 AM,appointment
Gynaecologist appointment request,appointment
Is Dr. Smith available next Monday?,appointment
How much strictly is the surgery?,billing
Insurance claim status please,billing
Glucose test results please,reports
Liver function test report please,reports
Food quality in the cafeteria was poor,complaint
"Hi, Urine culture report delay",reports
"Hi, When will X-ray results be ready",reports
Cost of blood test,billing
Billing process is too slow,complaint
"Hi, Refund request for cancelled appointment",billing
"Hi, Need a slot for 10 AM",appointment
Booking an appointment for cardiology please,appointment
"Hi, Late payment penalty?",billing
How much strictly is the surgery? please,billing
"Hi, Psychiatrist consultation booking",appointment
"Hi, Co-payment amount details",billing
Security guard was rude,complaint
Pharmacy didn't have the medicines please,complaint
Fan making noise in the room please,complaint
Ultrasound report collection please,reports
"Hi, Disappointed with the service",complaint
"Hi, Discount for senior citizens?",billing
"Hi, Is Dr. Smith available next Monday?",appointment
"Hi, Thyroid profile report status",reports
Typhoid test report availability please,reports
"Hi, Nurse was not attentive",complaint
Lipid profile results please,reports
Access reports online please,reports
Urine culture report delay,reports
Parking issue,complaint
Hemoglobin test report please,reports
"Hi, Download link for my MRI scan",reports
"Hi, Lipid profile results",reports
TV in the room not working,complaint
Follow-up appointment booking,appointment
Thyroid profile report status please,reports
Biopsy result waiting time please,reports
The waiting time was too long please,complaint
Lipid profile results,reports
"Hi, My bill seems incorrect",billing
Endoscopy report status please,reports
I want to see a general physician please,appointment
What is the cost of an MRI please,billing
Eye checkup appointment,appointment
Hospital premises were not clean please,complaint
Can I pay online? please,billing
TV in the room not working please,complaint
Can I schedule a visit for tomorrow? please,appointment
Status of my pathology report,reports
Kidney function test report please,reports
Report collection timings,reports
"Hi, Surgery package price",billing
I want to book a checkup please,appointment
Bed linen was not changed,complaint
"Hi, Billing department contact number",billing
Covid test result inquiry please,reports
My report has a spelling mistake,reports
Manager needed for a complaint,complaint
Co-payment amount details please,billing
Payment receipt not received,billing
"Hi, Is the CT scan report generated?",reports
Status of my pathology report please,reports
Room charges per day,billing
Pharmacy bill clarification please,billing
"Hi, Glucose test results",reports
"Hi, Mosquitoes in the lobby",complaint
Pediatrician appointment for my child please,appointment
"Hi, Fan making noise in the room",complaint
Neurologist visit scheduling please,appointment
"Hi, Emergency appointment request",appointment
Reschedule appointment to next week? please,appointment
"Hi, Book a dental cleaning",appointment
Pharmacy bill clarification,billing
Nurse was not attentive,complaint
Surgery package price please,billing
"Hi, I want to see a general physician",appointment
"Hi, Orthopedic consultation booking",appointment
Late payment penalty?,billing
"Hi, Do you accept cash payments?",billing
"Hi, How much strictly is the surgery?",billing
Water dispenser empty,complaint
Urgent appointment needed for back pain please,appointment
"Hi, Covid test result inquiry",reports
"Hi, Is the dermatologist available?",appointment
Typhoid test report availability,reports
Book a dental cleaning please,appointment
"Hi, Parking issue",complaint
What is the cost of an MRI,billing
